,rmse_tsb,rmse_ses,rmse_dotm,rmse_knn,rmse_rf,rmse_svr,rmse_mlp,mae_tsb,mae_ses,mae_dotm,mae_knn,mae_rf,mae_svr,mae_mlp
0,1.21E-19,0.003533561,0.003475867,0,0.005442707,0.01,0.004748942,1.21E-19,0.003533561,0.003470652,0,0.005442707,0.01,0.004748942
1,0.51390169,0.513189417,0.512110252,0.534522484,0.534151672,0.53232068,0.566280518,0.113427106,0.116341083,0.121229661,0.12244898,0.126399641,0.13122449,0.151430146
2,0.08447712,0.487632501,0.319825759,0.794117647,0.271174638,0.010017659,0.433907048,0.08447712,0.487632501,0.319789939,0.794117647,0.271174638,0.010017659,0.433907048
3,0.137360564,0.137360564,0.137360564,0.142857143,0.142857143,0.142857143,0.162577569,0.018867925,0.018867925,0.018867925,0.020408163,0.020408163,0.020408163,0.040881981
4,1.94E-09,0.035335683,0.040916793,0.294117647,0.03274266,0.01,0.038051949,1.94E-09,0.035335683,0.040870597,0.294117647,0.03274266,0.01,0.038051949
5,4.63E-25,0.007067135,0.016396579,0,0.007301983,0.01,0.007099956,4.63E-25,0.007067135,0.016374089,0,0.007301983,0.01,0.007099956
6,0.988468651,1.023850404,1.016462117,1.069044968,1.066877094,1.066033081,1.094632044,0.634203774,0.313354221,0.337430825,0.326530612,0.334071868,0.334489796,0.400823628
7,9.67E-05,0.045936396,0.099570006,0.117647059,0.050392313,0.01,0.057116088,9.67E-05,0.045936396,0.099492014,0.117647059,0.050392313,0.01,0.057116088
8,0.000202824,0.00706713,0.017429303,0,0.005823548,0.01,0.010473083,0.000202824,0.00706713,0.017407745,0,0.005823548,0.01,0.010473083
9,4.21E-24,0.003533567,0.007157076,0,0.00179986,0.01,0.005314025,4.21E-24,0.003533567,0.00714716,0,0.00179986,0.01,0.005314025
10,2.01E-23,0.003533567,0.006596562,0,0.002183213,0.01,0.005798854,2.01E-23,0.003533567,0.006587362,0,0.002183213,0.01,0.005798854
11,2.51E-23,0.003533567,0.006516496,0,0.005109673,0.01,0.007057359,2.51E-23,0.003533567,0.006507399,0,0.005109673,0.01,0.007057359
12,3.20E-17,0.003533561,0.001478353,0,0.002538876,0.01,0.006825891,3.20E-17,0.003533561,0.001475666,0,0.002538876,0.01,0.006825891
13,4.72E-19,0.00706713,0.006472021,0,0.008731053,0.01,0.010508674,4.72E-19,0.00706713,0.006462202,0,0.008731053,0.01,0.010508674
14,3.14E-07,0.00706713,0.012918054,0,0.010142713,0.01,0.010497814,3.14E-07,0.00706713,0.012902598,0,0.010142713,0.01,0.010497814
15,7.77E-10,0.014134268,0.016366718,0.117647059,0.013097064,0.01,0.017015551,7.77E-10,0.014134268,0.016348239,0.117647059,0.013097064,0.01,0.017015551
16,0.000198072,0.00706713,0.01566419,0.029411765,0.007417899,0.01,0.009225427,0.000198072,0.00706713,0.01564941,0.029411765,0.007417899,0.01,0.009225427
17,4.99E-17,0.003533561,0.0013187,0,0.002187185,0.01,0.006053417,4.99E-17,0.003533561,0.00131621,0,0.002187185,0.01,0.006053417
18,5.824,0.558303671,1.67583248,0,0.47407345,0.01,0.546404103,5.824,0.558303671,1.673775857,0,0.47407345,0.01,0.546404103
19,6.07E-10,0.00706713,0.008500174,0.058823529,0.007278287,0.01,0.007210858,6.07E-10,0.00706713,0.008490523,0.058823529,0.007278287,0.01,0.007210858
20,3.89E-10,0.00706713,0.008183359,0.058823529,0.006548532,0.01,0.011659193,3.89E-10,0.00706713,0.00817412,0.058823529,0.006548532,0.01,0.011659193
21,9.68E-14,0.010600699,0.002980532,0,0.010866502,0.01,0.007026906,9.68E-14,0.010600699,0.002978526,0,0.010866502,0.01,0.007026906
22,0.301989888,0.031802115,0.095418056,0,0.029301255,0.01,0.021988974,0.301989888,0.031802115,0.095294854,0,0.029301255,0.01,0.021988974
23,6.46E-14,0.00706713,0.001987021,0,0.007244335,0.01,0.006004693,6.46E-14,0.00706713,0.001985683,0,0.007244335,0.01,0.006004693
24,4.99E-17,0.003533561,0.0013187,0,0.002187185,0.01,0.006053417,4.99E-17,0.003533561,0.00131621,0,0.002187185,0.01,0.006053417
25,8.03E-08,0.003533561,0.006223316,0,0.002181857,0.01,0.004850062,8.03E-08,0.003533561,0.006215901,0,0.002181857,0.01,0.004850062
26,2.50E-09,0.038869248,0.032312086,0.029411765,0.037020383,0.01,0.047186105,2.50E-09,0.038869248,0.032286091,0.029411765,0.037020383,0.01,0.047186105
27,2.56E-09,0.042402821,0.040999454,0.058823529,0.040733949,0.01,0.052124336,2.56E-09,0.042402821,0.040972066,0.058823529,0.040733949,0.01,0.052124336
28,5.02E-23,0.007067135,0.013032993,0,0.010219347,0.01,0.006465543,5.02E-23,0.007067135,0.013014798,0,0.010219347,0.01,0.006465543
