,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
740,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6526993,System - Device Down,Corrective COR,2014-10-22 07:00:00,6.0,1.0,0.0,CT3264Z40B,MEMORY,CONSUMABLE,1.0
803,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6328899,System - Device Down,Corrective COR,2014-06-12 01:58:00,6.0,1.0,0.0,MYTA025,ACTUATOR,REPAIRABLE,1.0
804,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6328899,System - Device Down,Corrective COR,2014-06-12 01:58:00,6.0,1.0,0.0,MYTA025,ACTUATOR,REPAIRABLE,1.0
805,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,6328899,System - Device Down,Corrective COR,2014-06-12 01:58:00,6.0,1.0,0.0,MYTA025,ACTUATOR,REPAIRABLE,1.0
2362,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5979285,System - Device Down,Corrective COR,2013-10-18 09:00:00,5.0,1.0,0.0,B120,CIRCUIT BREAKER,CONSUMABLE,1.0
3840,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",5563941,System - Device Down,Corrective COR,2013-01-14 11:00:00,4.0,0.0,1.0,3TX7110-5JC13,RELAY,CONSUMABLE,1.0
3841,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",5563941,System - Device Down,Corrective COR,2013-01-14 11:00:00,4.0,1.0,0.0,70434-1,CONTACTOR,CONSUMABLE,1.0
3842,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",5563941,System - Device Down,Corrective COR,2013-01-14 11:00:00,4.0,0.0,1.0,2091500PG2M1110,"PRESSURE TRANSDUCER, MODEL 209",CONSUMABLE,1.0
4320,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",6225473,System - Device Down,Corrective COR,2014-04-10 12:00:00,5.0,1.0,0.0,480400,TESTER,CONSUMABLE,1.0
4492,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Wheeler AAF, HI",5692716,System - Device Down,Corrective COR,2013-04-03 09:00:00,4.0,0.0,1.0,2S67F,TRANSFORMER,CONSUMABLE,1.0
4551,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Hood, TX",5532358,System - Device Down,Corrective COR,2012-12-13 11:30:00,4.0,1.0,0.0,APJ10487,PLUG,CONSUMABLE,1.0
4584,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Riley, KS",6335421,System - Device Down,Corrective COR,2014-06-17 10:00:00,6.0,1.0,0.0,55096,CONDENSER ,REPAIRABLE,1.0
4585,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Riley, KS",6335421,System - Device Down,Corrective COR,2014-06-17 10:00:00,6.0,1.0,0.0,55096,CONDENSER ,REPAIRABLE,1.0
4586,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Riley, KS",6335421,System - Device Down,Corrective COR,2014-06-17 10:00:00,6.0,1.0,0.0,AD0812UB-A73GL-LF,FAN,CONSUMABLE,1.0
4587,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Riley, KS",6335421,System - Device Down,Corrective COR,2014-06-17 10:00:00,6.0,0.0,1.0,4M098,MOTOR,CONSUMABLE,1.0
4712,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Lewis, WA",6216232,System - Device Down,Corrective COR,2014-04-03 17:37:40,5.0,0.0,1.0,APJ10487,PLUG,CONSUMABLE,1.0
5144,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Camp Shelby, MS",6230352,System - Device Down,Corrective COR,2014-04-13 16:00:32,5.0,1.0,0.0,APJ10487,PLUG,CONSUMABLE,1.0
5909,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5703117,System - Device Down,Corrective COR,2013-04-11 09:00:00,4.0,0.0,1.0,AR1042,"HOUSING, RECEPTACLE GROUSE-HINDS",CONSUMABLE,1.0
5910,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5703117,System - Device Down,Corrective COR,2013-04-11 09:00:00,4.0,0.0,1.0,APJ10487,PLUG,CONSUMABLE,1.0
