,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
331,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",5961046,Corrective Maintenance,Corrective COR,2013-10-01 10:00:00,5.0,1,0,05146012-5501,UPS,REPAIRABLE,1
507,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",5740982,Corrective Maintenance,Corrective COR,2013-04-19 08:00:00,4.0,1,0,05146012-5501,UPS,REPAIRABLE,1
508,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",5740982,Corrective Maintenance,Corrective COR,2013-04-19 08:00:00,4.0,1,0,05146012-5501,UPS,REPAIRABLE,1
1162,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6367251,Corrective Maintenance,Corrective COR,2014-07-10 13:00:00,6.0,1,0,13VG2811ASIR-SQ,CAMERA ,REPAIRABLE,1
1346,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6365987,Corrective Maintenance,Corrective COR,2014-07-10 09:00:00,6.0,1,0,13VG2811ASIR-SQ,CAMERA ,REPAIRABLE,1
1357,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6741689,Corrective Maintenance,Corrective COR,2015-03-19 09:30:00,6.0,1,0,PD60AT,"HORN, SPEAKER, DRIVER",REPAIRABLE,1
1858,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Stewart, GA",6384095,Corrective Maintenance,Corrective COR,2014-07-23 07:00:00,6.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
1866,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6741677,Corrective Maintenance,Corrective COR,2015-03-19 08:30:00,6.0,1,0,PD60AT,"HORN, SPEAKER, DRIVER",REPAIRABLE,1
2011,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6741692,Corrective Maintenance,Corrective COR,2015-03-19 10:30:00,6.0,1,0,PD60AT,"HORN, SPEAKER, DRIVER",REPAIRABLE,1
2783,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6494862,Corrective Maintenance,Corrective COR,2014-09-29 07:00:00,6.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
2827,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6174700,Corrective Maintenance,Corrective COR,2014-03-13 09:00:00,5.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
2830,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6173581,Corrective Maintenance,Corrective COR,2014-03-10 15:00:00,5.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",REPAIRABLE,1
2847,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6132144,Corrective Maintenance,Corrective COR,2014-02-05 08:00:00,5.0,1,0,WS-C3750G-48TS-E,"OBSOLETE - SWITCH, CATALYST 3750 48 10/100, CISCO",REPAIRABLE,1
2908,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6394877,Corrective Maintenance,Corrective COR,2014-07-28 08:00:00,6.0,1,0,WD1600JD,"DRIVE, HARD",REPAIRABLE,1
4818,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6419871,Corrective Maintenance,Corrective COR,2014-08-15 11:00:00,6.0,1,0,NI-4100,CONTROLLER,REPAIRABLE,1
4945,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6304536,Corrective Maintenance,Corrective COR,2014-05-30 08:30:00,6.0,1,0,WS-C3750G-48TS-E,"OBSOLETE - SWITCH, CATALYST 3750 48 10/100, CISCO",REPAIRABLE,1
5016,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6408105,Corrective Maintenance,Corrective COR,2014-08-05 07:00:00,6.0,1,0,WD1600JD,"DRIVE, HARD",REPAIRABLE,1
5093,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6514494,Corrective Maintenance,Corrective COR,2014-10-13 07:00:00,6.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
5408,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",5633763,Corrective Maintenance,Corrective COR,2013-02-25 07:00:00,4.0,1,0,WS-C3750G-48TS-E,SWITCH,REPAIRABLE,1
5802,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",5632787,Corrective Maintenance,Corrective COR,2013-02-25 07:00:00,4.0,1,0,WS-C3750G-48TS-E,SWITCH,REPAIRABLE,1
6100,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",6376627,Corrective Maintenance,Corrective COR,2014-07-14 08:00:00,6.0,1,0,WD1600JD,"DRIVE, HARD",REPAIRABLE,1
6258,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6741707,Corrective Maintenance,Corrective COR,2015-03-18 13:30:00,6.0,1,0,CTS600,"CROWN AMPLIFER,4 OHM 300 WTS",REPAIRABLE,1
6748,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6761435,Corrective Maintenance,Corrective COR,2015-03-30 11:00:00,6.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
6818,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6761439,Corrective Maintenance,Corrective COR,2015-03-30 11:00:00,6.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
6850,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",6761201,Corrective Maintenance,Corrective COR,2015-03-30 11:00:00,6.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
7004,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Carson, CO",5647807,Corrective Maintenance,Corrective COR,2013-03-04 13:36:36,4.0,1,0,GC-EXSTR-200,DECODER,REPAIRABLE,1
7524,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Riley, KS",5646001,Corrective Maintenance,Corrective COR,2013-03-05 09:00:00,4.0,1,0,ICD-49,CAMERA ,REPAIRABLE,1
7938,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Bliss, TX",6044301,Corrective Maintenance,Corrective COR,2013-12-03 09:00:00,5.0,1,0,05146012-5501,UPS,REPAIRABLE,1
8011,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,6628409,Corrective Maintenance,Corrective COR,2015-01-05 18:00:00,6.0,1,0,PZM-11LL WR,"WEATHER RESITANT MICROPHONE, CROWN",REPAIRABLE,1
8198,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5862429,Corrective Maintenance,Corrective COR,2013-07-30 13:00:00,5.0,1,0,ICD-49,CAMERA,REPAIRABLE,1
8432,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Drum, NY",5208364,Corrective Maintenance,Corrective COR,2012-05-14 08:20:00,4.0,1,0,GC-EXSTR-200,DECODER,REPAIRABLE,1
8635,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Hood, TX",6634623,Bench/Depot Repair,Corrective COR,2015-01-12 08:00:00,6.0,1,0,05146012-5501,UPS,REPAIRABLE,1
9103,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Hood, TX",WF-5853259,Corrective Maintenance,Corrective COR,2013-07-24 09:00:00,5.0,1,0,05146012-5501,UPS,REPAIRABLE,1
9781,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Bliss, TX",6074265,Corrective Maintenance,Corrective COR,2014-01-02 08:00:00,5.0,1,0,05146012-5501,UPS,REPAIRABLE,1
9802,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Drum, NY",6072813,Corrective Maintenance,Corrective COR,2013-12-30 07:10:00,5.0,1,0,WD1600JD,"DRIVE, HARD",REPAIRABLE,1
9845,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",6382670,Corrective Maintenance,Corrective COR,2014-07-21 14:45:00,6.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
9855,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft McCoy, WI",6560516,Corrective Maintenance,Corrective COR,2014-11-10 11:30:00,6.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
9963,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,6216403,Corrective Maintenance,Corrective COR,2014-04-03 21:30:00,5.0,1,0,VSC500,"CONVERTER, SCAN, VIDEO, EXTRON",REPAIRABLE,1
9989,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Bliss, TX",6125126,Corrective Maintenance,Corrective COR,2014-01-29 13:00:00,5.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
10236,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Campbell, KY",5917274,Corrective Maintenance,Corrective COR,2013-09-04 06:30:00,5.0,1,0,05146012-5501,UPS,REPAIRABLE,1
10317,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,5623660,Corrective Maintenance,Corrective COR,2013-02-21 18:00:00,4.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
10339,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Bliss, TX",5914331,Corrective Maintenance,Corrective COR,2013-09-03 07:30:00,5.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
10346,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5635090,Corrective Maintenance,Corrective COR,2013-02-27 15:00:00,4.0,1,0,ICD-49,CAMERA ,REPAIRABLE,1
10350,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Campbell, KY",5710522,Corrective Maintenance,Corrective COR,2013-03-14 14:39:00,4.0,1,0,WS-C3750G-48TS-E,SWITCH,REPAIRABLE,1
10354,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5826843,Corrective Maintenance,Corrective COR,2013-07-02 10:00:00,5.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
10406,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Bliss, TX",5940533,Corrective Maintenance,Corrective COR,2013-09-18 09:30:00,5.0,1,0,BIM,"MODULE, INTERFACE",REPAIRABLE,1
10486,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5474997,Corrective Maintenance,Corrective COR,2012-11-05 10:00:00,4.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
10944,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5851194,Corrective Maintenance,Corrective COR,2013-07-22 08:00:00,5.0,1,0,ICD-49,CAMERA ,REPAIRABLE,1
11596,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Hood, TX",6212704,Corrective Maintenance,Corrective COR,2014-04-01 09:21:54,5.0,1,0,963290-0403,"JOYSTICK, 3D PRO",REPAIRABLE,1
11943,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,6122274,Corrective Maintenance,Corrective COR,2014-02-05 18:00:00,5.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
11955,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,5629444,Corrective Maintenance,Corrective COR,2013-02-21 18:00:00,4.0,1,0,SYLVA-1,Sylvania Microwave,REPAIRABLE,1
12108,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",6367094,Corrective Maintenance,Corrective COR,2014-07-10 10:00:00,6.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
12119,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5784538,Corrective Maintenance,Corrective COR,2013-06-04 11:00:00,5.0,1,0,9171-4200-0003,ENCODER,REPAIRABLE,1
12434,CACTF,Combined Arms Collective Training Facility (GDIT),"Camp Ripley, MN",5760111,Corrective Maintenance,Corrective COR,2013-05-21 13:00:00,5.0,1,0,ICD-49,CAMERA,REPAIRABLE,1
15350,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,6138326,Corrective Maintenance,Corrective COR,2014-02-18 18:00:00,5.0,1,0,UB12SEW,SPEAKER,REPAIRABLE,1
18179,CACTF,Combined Arms Collective Training Facility (GDIT),Korea - Camp Casey,5451088,Corrective Maintenance,Corrective COR,2012-04-15 18:00:00,4.0,1,0,VSC500,"VIDEO SCAN CONVERTER, EXTRON",REPAIRABLE,1
26356,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Benning, GA",6589721,Corrective Maintenance,Corrective COR,2014-12-02 15:00:00,6.0,1,0,2005.8036,"EXSTREAMER, NETWORK, MP3, BARIX",REPAIRABLE,1
26362,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Benning, GA",6679551,Corrective Maintenance,Corrective COR,2015-02-05 08:00:33,6.0,1,0,05146012-5501,UPS,REPAIRABLE,1
26377,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Bragg, NC",5591671,Corrective Maintenance,Corrective COR,2013-01-29 09:27:59,4.0,1,0,13VG2811ASIR-SQ,CAMERA ,REPAIRABLE,1
26467,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Bragg, NC",5418593,Corrective Maintenance,Corrective COR,2012-10-01 09:00:00,4.0,1,0,CDI1000,AMPLIFIER,REPAIRABLE,1
26469,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Benning, GA",6589767,Corrective Maintenance,Corrective COR,2014-12-03 10:30:00,6.0,1,0,2005.8036,"EXSTREAMER, NETWORK, MP3, BARIX",REPAIRABLE,1
26490,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Bragg, NC",5300457,Corrective Maintenance,Corrective COR,2012-07-16 14:46:00,4.0,1,0,FG423-17,POWER SUPPLY,REPAIRABLE,1
26682,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Lewis, WA",6487441,Corrective Maintenance,Corrective COR,2014-09-25 08:50:00,6.0,1,0,CDI1000,AMPLIFIER,REPAIRABLE,1
26683,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Lewis, WA",6487441,Corrective Maintenance,Corrective COR,2014-09-25 08:50:00,6.0,1,0,CDI1000,AMPLIFIER,REPAIRABLE,1
26684,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Lewis, WA",6487441,Corrective Maintenance,Corrective COR,2014-09-25 08:50:00,6.0,1,0,CDI1000,AMPLIFIER,REPAIRABLE,1
28009,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Lewis, WA",5311562,Corrective Maintenance,Corrective COR,2012-07-25 08:00:00,4.0,1,0,NI-4100,CONTROLLER,REPAIRABLE,1
28846,CACTF,Combined Arms Collective Training Facility (LMCO),"Ft Lewis, WA",6327473,Corrective Maintenance,Corrective COR,2014-06-11 08:00:00,6.0,1,0,13VG2811ASIR-SQ,CAMERA ,REPAIRABLE,1
