,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
4,CCTT,,Warfighter Support Center,5546452,Corrective Maintenance,Corrective COR,2012-12-31 07:45:00,4.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
27,CCTT,,Warfighter Support Center,DR5771441,Corrective Maintenance,Corrective COR,2013-01-02 07:30:00,5.0,1.0,0.0,CRS180G60,"POWER SUPPLY, CRT 18KV, VOLTAGEMULTIPLER",REPAIRABLE,1.0
65,CCTT,,Korea - Camp Casey,6272692,Bench/Depot Repair,Corrective COR,2014-05-08 01:59:11,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
73,CCTT,,Korea - Camp Casey,6316231,Bench/Depot Repair,Corrective COR,2014-06-03 01:30:00,6.0,2.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,2.0
74,CCTT,,Korea - Camp Casey,6316183,Bench/Depot Repair,Corrective COR,2014-06-02 21:26:50,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
75,CCTT,,Korea - Camp Casey,6316174,Bench/Depot Repair,Corrective COR,2014-06-02 21:13:54,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
131,CCTT,,Korea - Camp Casey,6413399,Bench/Depot Repair,Corrective COR,2014-08-11 02:26:49,6.0,2.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,2.0
182,CCTT,,Korea - Camp Casey,6459227,Bench/Depot Repair,Corrective COR,2014-09-09 02:40:00,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
183,CCTT,,Korea - Camp Casey,6459225,Bench/Depot Repair,Corrective COR,2014-09-09 02:40:00,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
185,CCTT,,Korea - Camp Casey,6459222,Bench/Depot Repair,Corrective COR,2014-09-09 02:30:00,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
280,CCTT,,Korea - Camp Casey,5690806,Corrective Maintenance,Corrective COR,2013-04-02 03:00:00,4.0,1.0,0.0,PS802,"AMPLIFIER, POWER, 400W, SOUND TECH",REPAIRABLE,1.0
338,CCTT,,Warfighter Support Center,DR5310905,Bench/Depot Repair,Corrective COR,2012-07-25 09:51:24,4.0,1.0,0.0,MBA-SE7505VB2,"HOST COMPUTER MOTHERBOARD, GP",REPAIRABLE,1.0
380,CCTT,,Korea - Camp Casey,6699636,Bench/Depot Repair,Corrective COR,2015-02-23 19:30:00,6.0,1.0,0.0,PS800,"AMPLIFIER, POWER SUPPLY, SOUND TECH",REPAIRABLE,1.0
392,CCTT,,Korea - Camp Casey,6742003,Bench/Depot Repair,Corrective COR,2015-03-19 21:01:33,6.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
394,CCTT,,Korea - Camp Casey,6742003,Bench/Depot Repair,Corrective COR,2015-03-19 21:01:33,6.0,1.0,0.0,126332-1,"DISPLAY SYSTEM, 10 INCH MR10-256-3, SGB",REPAIRABLE,1.0
410,CCTT,,"Ft Benning, GA",6074512,Bench/Depot Repair,Corrective COR,2013-09-16 13:00:00,5.0,1.0,0.0,119257-10,"BOARD ASSY,METER AD",REPAIRABLE,1.0
453,CCTT,,Korea - Camp Casey,5962230,Bench/Depot Repair,Corrective COR,2013-06-11 21:00:00,5.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER",REPAIRABLE,1.0
632,CCTT,,"Ft Benning, GA",6071578,Bench/Depot Repair,Corrective COR,2013-12-26 12:00:00,5.0,1.0,0.0,924000050-059,"BOARD ASSY,ANALOG I/O",REPAIRABLE,1.0
634,CCTT,,Korea - Camp Casey,6692485,Bench/Depot Repair,Corrective COR,2015-02-19 20:55:24,6.0,1.0,0.0,PS802,"AMPLIFIER, POWER, 400W, SOUND TECH",REPAIRABLE,1.0
635,CCTT,,"Ft Carson, CO",6108781,Corrective Maintenance,Corrective COR,2014-01-29 11:00:00,5.0,1.0,0.0,02-0709,"ASSY, DISPLAY, COMPASS, COMMANDER, DIGITAL, KVH INDUSTRIES INC",REPAIRABLE,1.0
636,CCTT,,Korea - Camp Casey,6692483,Bench/Depot Repair,Corrective COR,2015-02-19 20:43:22,6.0,1.0,0.0,PS802,"AMPLIFIER, POWER, 400W, SOUND TECH",REPAIRABLE,1.0
638,CCTT,,Warfighter Support Center,5274897,Bench/Depot Repair,Corrective COR,2012-06-26 09:04:09,4.0,1.0,0.0,924000000-079,"BOARD ASSY,POWER CO",REPAIRABLE,1.0
710,CCTT,,Korea - Camp Casey,6289239,Bench/Depot Repair,Corrective COR,2014-05-04 19:00:00,6.0,1.0,0.0,924000040-029,"BOARD ASSY, DIGITAL I/O",REPAIRABLE,1.0
720,CCTT,,Korea - Camp Casey,5940583,Bench/Depot Repair,Corrective COR,2013-09-18 20:00:00,5.0,1.0,0.0,PS800,"AMPLIFIER, POWER SUPPLY, SOUND TECH",REPAIRABLE,1.0
723,CCTT,,Korea - Camp Casey,6573487,Bench/Depot Repair,Corrective COR,2014-11-20 02:12:00,6.0,1.0,0.0,CX-2402 T3 (A),"CABLE, INTERFACE (VIC-III),  ANR, NAPCO",REPAIRABLE,1.0
743,CCTT,,Korea - Camp Casey,6302899,Corrective Maintenance,Corrective COR,2014-05-28 20:30:00,6.0,1.0,0.0,RGB1400,MONITOR,REPAIRABLE,1.0
788,CCTT,,Korea - Camp Casey,6727192,Corrective Maintenance,Corrective COR,2015-03-11 21:15:00,6.0,1.0,0.0,123738-5,"CORD, POWER FOR  RGB21LC MONITOR, ELPAC POWER SYSTEMS",REPAIRABLE,1.0
794,CCTT,,Korea - Camp Casey,5958004,Corrective Maintenance,Corrective COR,2013-09-18 20:00:00,5.0,1.0,0.0,PS800,"AMPLIFIER, POWER SUPPLY, SOUND TECH",REPAIRABLE,1.0
818,CCTT,,Warfighter Support Center,DR6638906,Corrective Maintenance,Corrective COR,2015-01-15 08:28:07,6.0,1.0,0.0,924010840-019,"BOARD ASSY, DIGITAL AUDIO SATELLITE",REPAIRABLE,1.0
881,CCTT,,"Ft Benning, GA",6081739,Bench/Depot Repair,Corrective COR,2015-01-08 13:45:00,5.0,2.0,0.0,161498-1,"DISPLAY ASSY, BIOCULAR (M2A3 AND  M1A2 SEP), SGB DISPLAY",REPAIRABLE,2.0
899,CCTT,,Korea - Camp Casey,6277740,Corrective Maintenance,Corrective COR,2014-05-12 01:55:33,6.0,1.0,0.0,924000040-029,"BOARD ASSY, DIGITAL I/O",REPAIRABLE,1.0
940,CCTT,,Korea - Camp Casey,6448873,Bench/Depot Repair,Corrective COR,2014-09-02 01:50:55,6.0,1.0,0.0,161498-3,BIOCULAR DISPLAY ASSY(M2A3 & M1A2) WITH CRT,REPAIRABLE,1.0
964,CCTT,,Korea - Camp Casey,5963102,Bench/Depot Repair,Corrective COR,2013-10-02 20:48:00,5.0,1.0,0.0,924000040-029,"BOARD ASSY, DIGITAL I/O",REPAIRABLE,1.0
969,CCTT,,Warfighter Support Center,DR6744546,Bench/Depot Repair,Corrective COR,2015-03-20 14:52:03,6.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
1048,CCTT,,Warfighter Support Center,DR6383676,Corrective Maintenance,Corrective COR,2014-07-22 14:42:16,6.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
1060,CCTT,,"Ft Benning, GA",6602663,Bench/Depot Repair,Corrective COR,2014-12-11 13:00:00,6.0,1.0,0.0,924011600-009,"BOARD ASSY, ETHERNET",REPAIRABLE,1.0
1092,CCTT,,Korea - Camp Casey,5962095,Bench/Depot Repair,Corrective COR,2013-10-01 19:24:00,5.0,1.0,0.0,S800,"AMPLIFIER, AUDIO",REPAIRABLE,1.0
1199,CCTT,,Warfighter Support Center,DR6100382,Corrective Maintenance,Corrective COR,2014-01-24 15:52:05,5.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
1216,CCTT,,Warfighter Support Center,DR6261745,Corrective Maintenance,Corrective COR,2014-05-01 12:30:00,6.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
1245,CCTT,,Warfighter Support Center,DR6355873,Corrective Maintenance,Corrective COR,2014-07-01 11:20:22,6.0,1.0,0.0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
1300,CCTT,,Korea - Camp Casey,6698272,Bench/Depot Repair,Corrective COR,2015-02-25 00:29:32,6.0,2.0,0.0,RGB1400,MONITOR,REPAIRABLE,2.0
1343,CCTT,,"Ft Benning, GA",6066166,Bench/Depot Repair,Corrective COR,2013-12-26 13:00:00,5.0,1.0,0.0,924011600-009,"BOARD ASSY, ETHERNET",REPAIRABLE,1.0
1386,CCTT,,"Ft Benning, GA",6338626,Bench/Depot Repair,Corrective COR,2014-06-17 11:00:32,6.0,1.0,0.0,MR10-256,DEU/10 INCH CRT ASSEMBLY (CITV),REPAIRABLE,1.0
1400,CCTT,,"Ft Carson, CO",5269854,Corrective Maintenance,Corrective COR,2012-06-20 11:00:00,4.0,7.0,0.0,118912,"CUSHION, SEAT BACK, VEHICULAR",REPAIRABLE,7.0
1420,CCTT,,Warfighter Support Center,DR5689349,Corrective Maintenance,Corrective COR,2013-04-01 13:00:00,4.0,1.0,0.0,10M548PT714,"CRT, 10"" AMBER",REPAIRABLE,1.0
1422,CCTT,,Warfighter Support Center,DR5689349,Corrective Maintenance,Corrective COR,2013-04-01 13:00:00,4.0,22.0,0.0,CRS180G60,"POWER SUPPLY, CRT 18KV, VOLTAGEMULTIPLER",REPAIRABLE,22.0
1437,CCTT,,Warfighter Support Center,DR5711439,Corrective Maintenance,Corrective COR,2013-04-18 13:55:16,4.0,1.0,0.0,10M548PT714,"CRT, 10"" AMBER",REPAIRABLE,1.0
1585,CCTT,,Korea - Camp Casey,6376847,Bench/Depot Repair,Corrective COR,2014-09-15 00:00:00,6.0,12.0,0.0,924000040-029,"BOARD ASSY, DIGITAL I/O",REPAIRABLE,12.0
1620,CCTT,,Korea - Camp Casey,6277736,Corrective Maintenance,Corrective COR,2014-07-21 19:00:00,6.0,1.0,0.0,924000040-029,"BOARD ASSY, DIGITAL I/O",REPAIRABLE,1.0
1637,CCTT,,"Ft Carson, CO",5669897,Corrective Maintenance,Corrective COR,2013-03-20 09:30:00,4.0,5.0,0.0,118912,"CUSHION, SEAT BACK, VEHICULAR",REPAIRABLE,5.0
1650,CCTT,,Korea - Camp Casey,5931018,Corrective Maintenance,Corrective COR,2013-09-11 19:00:00,5.0,1.0,0.0,PS800,"AMPLIFIER, POWER SUPPLY, SOUND TECH",REPAIRABLE,1.0
1767,CCTT,,Korea - Camp Casey,6316180,Bench/Depot Repair,Corrective COR,2014-06-10 19:00:00,6.0,1.0,0.0,924000030-069,"BOARD ASSY,DISPLAY CONTROLLER, ECC",REPAIRABLE,1.0
1771,CCTT,,Korea - Camp Casey,5970791,Bench/Depot Repair,Corrective COR,2013-10-09 19:00:00,5.0,1.0,0.0,924000000-079,"BOARD ASSY,POWER CO",REPAIRABLE,1.0
1850,CCTT,,Korea - Camp Casey,6429453,Bench/Depot Repair,Corrective COR,2014-08-21 21:15:00,6.0,1.0,0.0,CX-2402 T3 (A),"CABLE, INTERFACE (VIC-III),  ANR, NAPCO",REPAIRABLE,1.0
1926,CCTT,,"Ft Carson, CO",5929413,Corrective Maintenance,Corrective COR,2013-09-10 11:00:00,5.0,1.0,0.0,RGB1400,MONITOR,REPAIRABLE,1.0
1927,CCTT,,"Ft Carson, CO",5633408,Corrective Maintenance,Corrective COR,2013-02-26 15:00:00,4.0,20.0,0.0,60-755-01-MTL,"AMPLIFIER, PA 300 PEAKING FOR RGBHV, EXTRON",REPAIRABLE,20.0
