,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
807,EST,Engagement Skills Trainer (EST) 2000,Germany - Mannheim,5650843,System - Device Down,Corrective COR,2013-03-01 03:00:00,4.0,1.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,1.0
808,EST,Engagement Skills Trainer (EST) 2000,Germany - Mannheim,5650845,System - Device Down,Corrective COR,2013-03-01 03:00:00,4.0,1.0,0.0,5610000,"OIL, COMPRESSOR, JUN-AIR SJ-27",CONSUMABLE,1.0
809,EST,Engagement Skills Trainer (EST) 2000,Germany - Mannheim,5650845,System - Device Down,Corrective COR,2013-03-01 03:00:00,4.0,1.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,1.0
1369,EST,Engagement Skills Trainer (EST) 2000,"Ft Drum, NY",5779395,System - Device Down,Corrective COR,2013-05-03 12:00:00,5.0,1.0,0.0,R9210140,PROJECTOR ,REPAIRABLE,1.0
5169,EST,'Engagement Skills Trainer (EST) 2000,Warfighter Support Center,6549147,System - Device Down,Corrective COR,2014-11-04 15:19:00,6.0,1.0,0.0,1021044-08,"PSC ASSY, CST300D, RTP+",REPAIRABLE,1.0
9306,EST,Engagement Skills Trainer (EST) 2000,Italy - Vincenza,6040498,System - Device Down,Corrective COR,2013-12-03 07:00:00,5.0,1.0,0.0,R9210140,PROJECTOR ,REPAIRABLE,1.0
10231,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5827376,System - Device Down,Corrective COR,2013-07-03 04:00:00,5.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
10808,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5595300,System - Device Down,Corrective COR,2013-01-29 07:30:00,4.0,1.0,0.0,924012190,"RDU BOARD, LOT III",REPAIRABLE,1.0
10809,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5595300,System - Device Down,Corrective COR,2013-01-29 07:30:00,4.0,1.0,0.0,921340380,AUTO TRACKER,REPAIRABLE,1.0
10810,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5595301,System - Device Down,Corrective COR,2013-01-29 07:30:00,4.0,1.0,0.0,921340380,AUTO TRACKER,REPAIRABLE,1.0
10969,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5843677,System - Device Down,Corrective COR,2013-07-16 01:00:00,5.0,2.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,2.0
10970,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5843677,System - Device Down,Corrective COR,2013-07-16 01:00:00,5.0,1.0,0.0,921340380,AUTO TRACKER,REPAIRABLE,1.0
11120,EST,Engagement Skills Trainer (EST) 2000,"Camp Shelby, MS",5283349,System - Device Down,Corrective COR,2012-07-02 15:01:00,4.0,1.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,1.0
11121,EST,Engagement Skills Trainer (EST) 2000,"Camp Shelby, MS",5283349,System - Device Down,Corrective COR,2012-07-02 15:01:00,4.0,1.0,0.0,921340042,CABLE,CONSUMABLE,1.0
11122,EST,Engagement Skills Trainer (EST) 2000,"Camp Shelby, MS",5283349,System - Device Down,Corrective COR,2012-07-02 15:01:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
11415,EST,Engagement Skills Trainer (EST) 2000,Korea - Camp Casey,6459185,System - Device Down,Corrective COR,2014-09-08 20:30:00,6.0,1.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,1.0
11866,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5552406,System - Device Down,Corrective COR,2013-01-07 01:00:00,4.0,1.0,0.0,921340380,AUTO TRACKER,REPAIRABLE,1.0
11867,EST,Engagement Skills Trainer (EST) 2000,Germany - Hohenfels,5552406,System - Device Down,Corrective COR,2013-01-07 01:00:00,4.0,1.0,0.0,6LR61,"BATTERY, BLOCK",CONSUMABLE,1.0
12005,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
12006,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,921340042,CABLE,CONSUMABLE,1.0
12007,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,921343307,CABLE ASSEMBLY,CONSUMABLE,1.0
12008,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,921340156-029,LOT V CAMERA (DIFFERENT BRACKETS),CONSUMABLE,1.0
12009,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,DVI-DB15,DVI CONNECTOR (LOT II'S AND UP),CONSUMABLE,1.0
12010,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,921340235-019,ATTR COMPUTER SATA LOT VII,REPAIRABLE,1.0
12011,EST,Engagement Skills Trainer (EST) 2000,"Ft Pickett, VA",5429870,System - Device Down,Corrective COR,2012-10-09 10:37:00,4.0,1.0,0.0,921340228,RACK DISTRIBUTION UNIT ASSY,REPAIRABLE,1.0
13117,EST,Engagement Skills Trainer (EST) 2000,"Ft Polk, LA",6098577,System - Device Down,Corrective COR,2014-01-23 11:00:00,5.0,1.0,0.0,921340381,"COMPUTER, EST",REPAIRABLE,1.0
13560,EST,Engagement Skills Trainer (EST) 2000,"Ft Knox, KY",5325146,System - Device Down,Corrective COR,2012-07-27 08:27:00,4.0,1.0,0.0,921340235-009,ATTR COMPUTER,REPAIRABLE,1.0
