,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
2776,GMDT,,Warfighter Support Center,6043630,System - Device Degraded,Corrective COR,2013-11-25 12:30:00,5,1,0,LAXXR-12,"RIBBON,LA120",CONSUMABLE,1.0
2777,GMDT,,Warfighter Support Center,6043630,System - Device Degraded,Corrective COR,2013-11-25 12:30:00,5,1,0,4-4007-00-91,"CORD, COMMUNICATION, WHITNEY BLAKE",CONSUMABLE,1.0
2778,GMDT,,Warfighter Support Center,6043630,System - Device Degraded,Corrective COR,2013-11-25 12:30:00,5,1,0,12339386,REAR DOOR STRIKE,CONSUMABLE,1.0
2779,GMDT,,Warfighter Support Center,6043630,System - Device Degraded,Corrective COR,2013-11-25 12:30:00,5,2,0,12710804,"Potentimeter ,RECTILINEAR",CONSUMABLE,2.0
3378,GMDT,,Warfighter Support Center,6319365,System - Device Degraded,Corrective COR,2014-06-04 10:00:00,6,1,0,500651A,"HARNESS, CONTROL RAMP, MET, ACE",CONSUMABLE,1.0
4915,GMDT,LAV-25 M-AGTS |DV03TS04A,"Los Alamitos, CA",5534334,System - Device Degraded,Corrective COR,2012-12-19 08:38:00,4,1,0,SRA-2075,"AMPLIFIER, AUDIO",REPAIRABLE,1.0
5057,GMDT,LAV-25 M-AGTS |DV03TS04A,"Los Alamitos, CA",5525503,System - Device Degraded,Corrective COR,2012-12-11 02:00:00,4,1,0,6400221P92,COMPUTER,REPAIRABLE,1.0
6858,GMDT,"Light Armored Vehicle, Desktop Advanced Gunnery Training Systems",Warfighter Support Center,6364834,System - Device Degraded,Corrective COR,2014-07-08 13:30:00,6,2,0,6400221P82,"COMPUTER, SOUND, DAGTS, LOCKHEED MARTIN",CONSUMABLE,2.0
6926,GMDT,"Light Armored Vehicle, Desktop Advanced Gunnery Training Systems",Warfighter Support Center,6175354,System - Device Degraded,Corrective COR,2014-03-11 15:00:00,5,1,0,549-15711502,POTENTIOMETER,CONSUMABLE,1.0
8517,GMDT,GMT/CVTS M1A1 M-AGTS,"Twenty Nine Palms, CA",6282228,System - Device Degraded,Corrective COR,2014-05-14 18:00:00,6,1,0,CR38K6TF5875,"COMPRESSOR, HERMETIC, R22, 37K, COPELAND",CONSUMABLE,1.0
8574,GMDT,GMT/CVTS M1A1 M-AGTS,"Ft Knox, KY",6766356,System - Device Degraded,Corrective COR,2015-04-02 16:00:00,6,1,0,50KST45-01-1-05N,ROTARY SWITCH,CONSUMABLE,1.0
