,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
662,JMRC,JMRC Instrumentation System,Germany - Hohenfels,DR6303044,Bench/Depot Repair,Corrective COR,2014-05-29 04:16:43,6.0,1.0,0.0,154077,"INTERFACE ASSY,BMP2C",REPAIRABLE,1.0
791,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6462440,Corrective Maintenance,Corrective COR,2014-09-10 11:43:26,6.0,1.0,0.0,APPLE-LED-27,"APPLE LED CINEMA 27"" WIDESCREENDISPLAY",REPAIRABLE,1.0
6849,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6594033,Corrective Maintenance,Corrective COR,2014-12-04 08:52:25,6.0,1.0,0.0,MD771A61,Mac Pro: Customed Configured-Two 3.06GHz,REPAIRABLE,1.0
8014,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6594119,Corrective Maintenance,Corrective COR,2014-12-04 09:29:44,6.0,1.0,0.0,F1DD104L,BELKIN 4 PORT DVI USB W/DVI-D KVM,REPAIRABLE,1.0
11829,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6410891,Corrective Maintenance,Corrective COR,2014-08-08 05:10:11,6.0,1.0,0.0,MIX10NG2,Stereo Mixer System,REPAIRABLE,1.0
12564,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6600991,Corrective Maintenance,Corrective COR,2014-12-10 04:39:35,6.0,1.0,0.0,T875-25-8250-R,RECEIVER,REPAIRABLE,1.0
14397,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6557312,Corrective Maintenance,Corrective COR,2014-11-11 08:35:36,6.0,1.0,0.0,MIX10NG2,Stereo Mixer System,REPAIRABLE,1.0
14399,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6557321,Corrective Maintenance,Corrective COR,2014-11-11 08:39:33,6.0,1.0,0.0,60-1021-000175,CUSTOM SMX SYSTEM LX0X,REPAIRABLE,1.0
16518,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6274574,Corrective Maintenance,Corrective COR,2014-05-09 00:54:25,6.0,1.0,0.0,TR411,"TRANSCEIVERS, 360-37 MHZ",REPAIRABLE,1.0
16519,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6274574,Corrective Maintenance,Corrective COR,2014-05-09 00:54:25,6.0,1.0,0.0,TR411,"TRANSCEIVERS, 360-37 MHZ",REPAIRABLE,1.0
16618,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6506281,Corrective Maintenance,Corrective COR,2014-10-06 11:08:00,6.0,1.0,0.0,TR411,"TRANSCEIVERS, 360-37 MHZ",REPAIRABLE,1.0
16619,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6506281,Corrective Maintenance,Corrective COR,2014-10-06 11:08:00,6.0,1.0,0.0,TR411,"TRANSCEIVERS, 360-37 MHZ",REPAIRABLE,1.0
16739,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6493588,Corrective Maintenance,Corrective COR,2014-09-29 04:28:04,6.0,1.0,0.0,KAA4040,"AMPLIFIER,  POWER AR KALMUS 500W 10-100MHZ",REPAIRABLE,1.0
16891,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6513779,Corrective Maintenance,Corrective COR,2014-09-28 06:00:00,6.0,1.0,0.0,T23-129-075-1,"LCD, 24 push-button keys, rack mount (2 RU)",REPAIRABLE,1.0
16989,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6214273,Corrective Maintenance,Corrective COR,2014-04-03 02:49:05,5.0,1.0,0.0,R9860923,Controller. Barco,REPAIRABLE,1.0
17206,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6271738,Corrective Maintenance,Corrective COR,2014-05-07 09:23:17,6.0,1.0,0.0,NP 4001,NEC  Projector 4001 Lens,REPAIRABLE,1.0
17262,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6405088,Corrective Maintenance,Corrective COR,2014-08-05 02:43:00,6.0,1.0,0.0,HD2014+FL-CD3+2PS+AA2,1RU MULTI-PATH VIDEO CONVERTER FRAME SYNCHRONIZER,REPAIRABLE,1.0
17303,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6507890,Corrective Maintenance,Corrective COR,2014-10-08 10:00:00,6.0,1.0,0.0,MIX10NG2,Stereo Mixer System,REPAIRABLE,1.0
17304,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6507890,Corrective Maintenance,Corrective COR,2014-10-08 10:00:00,6.0,1.0,0.0,MIX10NG2,Stereo Mixer System,REPAIRABLE,1.0
17654,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6245774,Corrective Maintenance,Corrective COR,2014-04-24 13:00:50,5.0,1.0,0.0,60-477-01,VSC700 HIGH RESOL COMP TO VIDEO CONVERTER,REPAIRABLE,1.0
17663,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6022204,Corrective Maintenance,Corrective COR,2013-11-18 02:18:39,5.0,1.0,0.0,NLE-1616VHDES,Sierra NLE 16x16 Composite Video,REPAIRABLE,1.0
17667,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6310757,Corrective Maintenance,Corrective COR,2014-06-02 06:57:00,6.0,1.0,0.0,NEC NP 1150,PROJECTOR NEC,REPAIRABLE,1.0
17682,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6176263,Corrective Maintenance,Corrective COR,2014-03-12 06:30:30,5.0,1.0,0.0,CPL-17A,"ILLUMINATOR, IR",REPAIRABLE,1.0
18092,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6395185,Corrective Maintenance,Corrective COR,2014-07-29 08:12:33,6.0,1.0,0.0,PE1950,"SERVER, POWEREDGE 1950, DELL",REPAIRABLE,1.0
18157,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6681211,Corrective Maintenance,Corrective COR,2015-02-11 02:38:03,6.0,1.0,0.0,R9860923,Controller. Barco,REPAIRABLE,1.0
18198,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6185399,Corrective Maintenance,Corrective COR,2014-03-19 10:14:59,5.0,1.0,0.0,CPL-17A,"ILLUMINATOR, IR",REPAIRABLE,1.0
18233,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6670488,Corrective Maintenance,Corrective COR,2015-02-04 06:54:00,6.0,1.0,0.0,IMS 212,4 Channel Pre-Amp,REPAIRABLE,1.0
18252,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6142340,Corrective Maintenance,Corrective COR,2014-02-21 03:33:18,5.0,1.0,0.0,MD771A61,Mac Pro: Customed Configured-Two 3.06GHz,REPAIRABLE,1.0
18253,JMRC,JMRC Instrumentation System,Germany - Hohenfels,6142340,Corrective Maintenance,Corrective COR,2014-02-21 03:33:18,5.0,1.0,0.0,MD771A61,Mac Pro: Customed Configured-Two 3.06GHz,REPAIRABLE,1.0
