,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
787,LMTS,Laser Markmanship Training System,Warfighter Support Center,6602738,System - Device Degraded,Corrective COR,2014-12-11 14:15:00,6.0,1.0,0.0,MD3572,LIFTER,REPAIRABLE,1.0
836,LMTS,Laser Markmanship Training System,"Camp Ripley, MN",5651150,System - Device Degraded,Corrective COR,2013-03-08 10:34:00,4.0,1.0,0.0,LT-300,LASER,CONSUMABLE,1.0
848,LMTS,Laser Markmanship Training System,Germany - Baumholder,6781068,System - Device Degraded,Corrective COR,2015-04-08 07:23:00,6.0,1.0,0.0,LT-300,LASER,CONSUMABLE,1.0
849,LMTS,Laser Markmanship Training System,"Ft Leonard Wood, MO",5838407,System - Device Degraded,Corrective COR,2013-07-01 08:00:00,5.0,2.0,0.0,MD3572,LIFTER,REPAIRABLE,2.0
850,LMTS,Laser Markmanship Training System,"Ft Leonard Wood, MO",5838407,System - Device Degraded,Corrective COR,2013-07-01 08:00:00,5.0,1.0,0.0,MD1011,CABLE,CONSUMABLE,1.0
851,LMTS,Laser Markmanship Training System,"Ft Leonard Wood, MO",5838407,System - Device Degraded,Corrective COR,2013-07-01 08:00:00,5.0,1.0,0.0,MD1011,CABLE,CONSUMABLE,1.0
875,LMTS,Laser Markmanship Training System,"Ft Sill, OK",5666977,System - Device Degraded,Corrective COR,2013-03-19 09:41:00,4.0,2.0,0.0,MD1001,POWER SUPPLY,REPAIRABLE,2.0
876,LMTS,Laser Markmanship Training System,"Ft Sill, OK",5666977,System - Device Degraded,Corrective COR,2013-03-19 09:41:00,4.0,2.0,0.0,MD1026,"POWER CORD, TR 900",REPAIRABLE,2.0
888,LMTS,Laser Markmanship Training System,"Ft McCoy, WI",5670438,System - Device Degraded,Corrective COR,2013-03-19 16:14:00,4.0,5.0,0.0,MD4259,PL-10 LUBRICANT,CONSUMABLE,5.0
889,LMTS,Laser Markmanship Training System,"Ft McCoy, WI",5670438,System - Device Degraded,Corrective COR,2013-03-19 16:14:00,4.0,4.0,0.0,LT-300,LASER,CONSUMABLE,4.0
911,LMTS,Laser Markmanship Training System,"Ft Riley, KS",5289839,System - Device Degraded,Corrective COR,2012-06-28 09:58:00,4.0,2.0,0.0,MD2511,ROD,REPAIRABLE,2.0
926,LMTS,Laser Markmanship Training System,Warfighter Support Center,6215771,System - Device Degraded,Corrective COR,2014-04-03 14:32:00,5.0,2.0,0.0,MD3532,OVERLAY,CONSUMABLE,2.0
927,LMTS,Laser Markmanship Training System,Warfighter Support Center,6215771,System - Device Degraded,Corrective COR,2014-04-03 14:32:00,5.0,2.0,0.0,MD2536,TRI-CAL LASER ALIGNMENT DEVICE WITH CASE,CONSUMABLE,2.0
928,LMTS,Laser Markmanship Training System,Warfighter Support Center,6215771,System - Device Degraded,Corrective COR,2014-04-03 14:32:00,5.0,7.0,0.0,MD2525,ALLEN WRENCH,CONSUMABLE,7.0
