,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
50,NTC,NTC Instrumentation System,"Ft Irwin, CA",5221997.0,Corrective Maintenance,Corrective COR,2012-05-21 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
102,NTC,NTC Instrumentation System,"Ft Irwin, CA",5319736.0,Corrective Maintenance,Corrective COR,2012-07-29 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
196,NTC,NTC Instrumentation System,"Ft Irwin, CA",5466523.0,Corrective Maintenance,Corrective COR,2012-11-01 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
197,NTC,NTC Instrumentation System,"Ft Irwin, CA",5466540.0,Corrective Maintenance,Corrective COR,2012-11-01 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
198,NTC,NTC Instrumentation System,"Ft Irwin, CA",5472578.0,Corrective Maintenance,Corrective COR,2012-11-03 16:35:00,4.0,1.0,0.0,162337,"CCA, POWER VDD",REPAIRABLE,1.0
199,NTC,NTC Instrumentation System,"Ft Irwin, CA",5472578.0,Corrective Maintenance,Corrective COR,2012-11-03 16:35:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
202,NTC,NTC Instrumentation System,"Ft Irwin, CA",5472570.0,Corrective Maintenance,Corrective COR,2012-11-03 16:35:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
203,NTC,NTC Instrumentation System,"Ft Irwin, CA",5472574.0,Corrective Maintenance,Corrective COR,2012-11-03 16:35:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
205,NTC,NTC Instrumentation System,"Ft Irwin, CA",5472574.0,Corrective Maintenance,Corrective COR,2012-11-03 16:35:00,4.0,1.0,0.0,162326,"CCA, BACKPLANE, VDD",REPAIRABLE,1.0
208,NTC,NTC Instrumentation System,"Ft Irwin, CA",5466538.0,Corrective Maintenance,Corrective COR,2012-11-01 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
209,NTC,NTC Instrumentation System,"Ft Irwin, CA",5466549.0,Corrective Maintenance,Corrective COR,2012-11-01 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
211,NTC,NTC Instrumentation System,"Ft Irwin, CA",5466536.0,Corrective Maintenance,Corrective COR,2012-11-01 00:00:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
212,NTC,NTC Instrumentation System,"Ft Irwin, CA",5466536.0,Corrective Maintenance,Corrective COR,2012-11-01 00:00:00,4.0,2.0,0.0,162337,"CCA, POWER VDD",REPAIRABLE,2.0
213,NTC,NTC Instrumentation System,"Ft Irwin, CA",5482929.0,Corrective Maintenance,Corrective COR,2012-11-09 14:54:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
226,NTC,NTC Instrumentation System,"Ft Irwin, CA",5498516.0,Corrective Maintenance,Corrective COR,2012-11-20 14:05:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
228,NTC,NTC Instrumentation System,"Ft Irwin, CA",5498516.0,Corrective Maintenance,Corrective COR,2012-11-20 14:05:00,4.0,1.0,0.0,162337,"CCA, POWER VDD",REPAIRABLE,1.0
235,NTC,NTC Instrumentation System,"Ft Irwin, CA",5498519.0,Corrective Maintenance,Corrective COR,2012-11-20 14:05:00,4.0,1.0,0.0,162330,"PROCESSOR, CCA, VDD",REPAIRABLE,1.0
236,NTC,NTC Instrumentation System,"Ft Irwin, CA",5498519.0,Corrective Maintenance,Corrective COR,2012-11-20 14:05:00,4.0,1.0,0.0,162326,"CCA, BACKPLANE, VDD",REPAIRABLE,1.0
345,NTC,NTC Instrumentation System,"Ft Irwin, CA",5632904.0,Corrective Maintenance,Corrective COR,2013-02-26 14:25:00,4.0,1.0,0.0,162337,"CCA, POWER VDD",REPAIRABLE,1.0
346,NTC,NTC Instrumentation System,"Ft Irwin, CA",5632898.0,Corrective Maintenance,Corrective COR,2013-02-26 14:25:00,4.0,1.0,0.0,162326,"CCA, BACKPLANE, VDD",REPAIRABLE,1.0
349,NTC,NTC Instrumentation System,"Ft Irwin, CA",5632892.0,Corrective Maintenance,Corrective COR,2013-02-26 14:25:00,4.0,1.0,0.0,162326,"CCA, BACKPLANE, VDD",REPAIRABLE,1.0
352,NTC,NTC Instrumentation System,"Ft Irwin, CA",5632907.0,Corrective Maintenance,Corrective COR,2013-02-26 14:25:00,4.0,1.0,0.0,162326,"CCA, BACKPLANE, VDD",REPAIRABLE,1.0
