,SUBTFA,SYSTEMID,DEVICE NUMBER,DEVICE DESCRIPTION,DEVICE SERIAL NUMER,SITE,WORK ORDER NUMBER,WORK ORDER DESCRIPTION,WORK ORDER PRIORITY DESCRIPTION,WOTYPE_DESCRIPTION,FUNCTIONAL LOCATION DRILL DOWN,FUNCTIONAL LOCATION DESCRIPTION,PROBLEMREPORTED,ACTIONCOMPLETED,TIME TO RETURN (Days.% of 24hrs),LOT YEAR,AFFECTED PART UNIQUE IDENTIFIER,AFFECTED PART NUMBER,AFFECTED PART NAME,AFFECTED PART SERIAL NUMBER,MAINTENANCE ACTION,NUMPARTSFROMSTOREROOM,NUMPARTSFROMPO,DATE SENT TO VENDOR,DATE RECEIVED FROM VENDOR,REPAIR PART OWNERSHIP,REPAIR PART NUMBER,REPAIR PART NAME,REPAIR PART SERIAL NUMBER,REPAIR PART STOCKTYPE,REPAIR CATEGORY,REPAIR PART FARCODE,TOTAL WORK ORDER LABOR,LONG DESCRIPTION,Unnamed: 34
0,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,696069B,"CABLE AY., TRIGGER",Not required for this type of Work Order,Pulled from Storeroom,3,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696069B,"CABLE AY., TRIGGER",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
1,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,696072B,"CABLE AY, SPARK PLUG",Not required for this type of Work Order,Pulled from Storeroom,3,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696072B,"CABLE AY, SPARK PLUG",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
2,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,GRTHOSE12FT,"HOSE, OXY/PROPANE, 12', T-RATED, CHURCH TOWNE GAS & WELDING SUPPLY",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,GRTHOSE12FT,"HOSE, OXY/PROPANE, 12', T-RATED, CHURCH TOWNE GAS & WELDING SUPPLY",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
3,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,696067B,"CABLE AY, DC POWER",Not required for this type of Work Order,Pulled from Storeroom,3,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696067B,"CABLE AY, DC POWER",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
4,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,81B000-NSTD,"MODULE, CONTROL, IEI",Not required for this type of Work Order,Pulled from Storeroom,2,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,81B000-NSTD,"MODULE, CONTROL, IEI",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
5,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,860000,"CABLE AY., PWR & TRIG.",Not required for this type of Work Order,Pulled from Storeroom,2,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,860000,"CABLE AY., PWR & TRIG.",Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
6,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,815000-NSTD,"VALVE ASSY, OXYGEN, IEI",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,815000-NSTD,"VALVE ASSY, OXYGEN, IEI",Serial Number Unknown,REPAIRABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
7,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947180,ISSUE NSTD PARTS TO FORT CAMPBELL,Exercise/Operational Support,Operational Support,NSTD-CAMPBELL,Ft. Campbell,2015-07-16 09:00:00.0000000,2015-07-16 10:00:00.0000000,0.0416,7,Not required for this type of Work Order,696070B,"VALVE AY, SOLENOID",Not required for this type of Work Order,Pulled from Storeroom,1,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,696070B,"VALVE AY, SOLENOID",Serial Number Unknown,REPAIRABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT CAMPBELL
8,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947248,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-16 02:30:00.0000000,2015-07-16 03:30:00.0000000,0.0416,7,Not required for this type of Work Order,7961,BOOT,Not required for this type of Work Order,Pulled from Storeroom,20,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,7961,BOOT,Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
9,SS,AT,NSTD,NSTD,Small Arms Gunfire Simulator,XXXX-XXXX,Warfighter Support Center,6947248,ISSUE NSTD PARTS TO FORT LWOOD,Exercise/Operational Support,Operational Support,NSTD-LWOOD,Ft Leonard Wood,2015-07-16 02:30:00.0000000,2015-07-16 03:30:00.0000000,0.0416,7,Not required for this type of Work Order,DMN-300-OA,THERMOSTAT,Not required for this type of Work Order,Pulled from Storeroom,4,0,VENDOR NOT REQUIRED,VENDOR NOT REQUIRED,MTL,DMN-300-OA,THERMOSTAT,Not Applicable to Material Items,CONSUMABLE,Fair Wear and Tear,Government Furnished,1,ISSUE CONSUMABLE NSTD PARTS TO FORT LWOOD
