,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
0,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5548303,Corrective Maintenance,Corrective COR,2013-01-11 00:00:00,4.0,0.0,12.0,P000652-001,"BOOT, PROTECTIVE",CONSUMABLE,12.0
1,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5548303,Corrective Maintenance,Corrective COR,2013-01-11 00:00:00,4.0,0.0,12.0,P000652-001,"BOOT, PROTECTIVE",CONSUMABLE,12.0
5,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Germany - Illesheim,5517605,Corrective Maintenance,Corrective COR,2012-12-07 05:00:00,4.0,1.0,0.0,A001766-001,CCA,CONSUMABLE,1.0
9,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5671005,Corrective Maintenance,Corrective COR,2013-03-21 14:56:18,4.0,1.0,0.0,269440,"PAINT, SPRAY",CONSUMABLE,1.0
10,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5671005,Corrective Maintenance,Corrective COR,2013-03-21 14:56:18,4.0,2.0,0.0,269440,"PAINT, SPRAY",CONSUMABLE,2.0
11,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5816476,Corrective Maintenance,Corrective COR,2013-06-28 07:59:05,5.0,0.0,1.0,51593,"PVC ELBOW, 2""  90 DEGREE",CONSUMABLE,1.0
12,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5816476,Corrective Maintenance,Corrective COR,2013-06-28 07:59:05,5.0,1.0,0.0,A001556-001,CABLE,CONSUMABLE,1.0
21,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Germany - Illesheim,5668598,Corrective Maintenance,Corrective COR,2013-03-20 04:00:00,4.0,3.0,0.0,4322-4000,DISPLAY,CONSUMABLE,3.0
22,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Rucker, AL",6127179,Bench/Depot Repair,Corrective COR,2014-02-10 10:42:00,5.0,0.0,1.0,6EP1434-1SH01,POWER SUPPLY,CONSUMABLE,1.0
31,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",6344576,Corrective Maintenance,Corrective COR,2014-06-24 09:06:49,6.0,0.0,1.0,P003062-001,COMMUNICATIONS SYSTEM,CONSUMABLE,1.0
33,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5399926,Corrective Maintenance,Corrective COR,2012-09-21 04:09:19,4.0,1.0,0.0,A001556-001,CABLE,CONSUMABLE,1.0
58,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5233737,Corrective Maintenance,Corrective COR,2012-05-30 14:47:19,4.0,0.0,1.0,954080,TONER CARTRIDGE,CONSUMABLE,1.0
59,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5233737,Corrective Maintenance,Corrective COR,2012-05-30 14:47:19,4.0,0.0,1.0,1650EN,KONICA MINOLTA PRINTER,CONSUMABLE,1.0
61,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",6377386,Corrective Maintenance,Corrective COR,2014-07-16 14:12:15,6.0,1.0,0.0,12-P-607,SCREW,CONSUMABLE,1.0
64,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),Korea - Camp Humphreys,5783629,Bench/Depot Repair,Corrective COR,2013-06-04 21:00:00,5.0,1.0,0.0,IM2700XLPE-BLACK,"CASE, PELICAN STANDARD BLACK, TSA",CONSUMABLE,1.0
66,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,1.0,0.0,MG2213,KEY,CONSUMABLE,1.0
67,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,2.0,0.0,M21-2GVH,MAG2000 SINGLE UNIT,CONSUMABLE,2.0
68,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,0.0,1.0,D001386-001,TRIGGER,CONSUMABLE,1.0
69,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,0.0,1.0,104480-9,PIN,CONSUMABLE,1.0
70,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,2.0,0.0,M21-2GVH,MAG2000 SINGLE UNIT,CONSUMABLE,2.0
71,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,0.0,1.0,A001573-18,"SPRING, TRIGGER GUARD, METTERS, AVCATT TEDAC",CONSUMABLE,1.0
72,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Bragg, NC",5649174,Corrective Maintenance,Corrective COR,2013-03-06 12:23:00,4.0,2.0,0.0,M21-2GVH,MAG2000 SINGLE UNIT,CONSUMABLE,2.0
79,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5827487,Corrective Maintenance,Corrective COR,2014-01-10 12:09:20,5.0,0.0,27.0,A001556-001,CABLE,CONSUMABLE,27.0
80,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Campbell, KY",5827487,Corrective Maintenance,Corrective COR,2014-01-10 12:09:20,5.0,0.0,1.0,AP204511,CONNECTOR,CONSUMABLE,1.0
85,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5323240,Corrective Maintenance,Corrective COR,2012-08-01 09:30:00,4.0,0.0,100.0,4680A67,SAND PAPER,CONSUMABLE,100.0
86,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5323240,Corrective Maintenance,Corrective COR,2012-08-01 09:30:00,4.0,0.0,2.0,020066205492,PAINT,CONSUMABLE,2.0
87,AVCATT,Aviation Combined Arms Tactical Trainer (AVCATT),"Ft Indiantown Gap, PA",5323240,Corrective Maintenance,Corrective COR,2012-08-01 09:30:00,4.0,5.0,0.0,269440,"PAINT, SPRAY",CONSUMABLE,5.0
