,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
12,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",5978185,PMCS,Preventive PM,2013-10-17 08:00:02,5.0,0,1,5VC44,BLADE,CONSUMABLE,1
13,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338347,PMCS,Preventive PM,2014-06-19 12:15:05,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
14,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338372,PMCS,Preventive PM,2014-06-19 12:27:43,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
15,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338377,PMCS,Preventive PM,2014-06-19 12:32:34,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
16,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338380,PMCS,Preventive PM,2014-06-19 12:35:57,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
17,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338386,PMCS,Preventive PM,2014-06-19 12:41:00,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
18,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338451,PMCS,Preventive PM,2014-06-19 12:44:58,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
19,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338463,PMCS,Preventive PM,2014-06-19 12:52:01,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
20,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6335340,PMCS,Preventive PM,2014-06-17 11:22:48,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
21,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6335351,PMCS,Preventive PM,2014-06-17 11:26:05,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
22,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6335373,PMCS,Preventive PM,2014-06-17 11:29:14,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
23,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6327718,PMCS,Preventive PM,2014-06-10 08:00:00,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
24,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6328530,PMCS,Preventive PM,2014-06-10 08:00:00,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
25,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6328548,PMCS,Preventive PM,2014-06-10 08:00:00,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
26,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6328523,PMCS,Preventive PM,2014-06-10 08:00:00,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
27,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6328731,PMCS,Preventive PM,2014-06-10 08:00:00,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
28,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338297,PMCS,Preventive PM,2014-06-19 11:40:41,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
29,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338314,PMCS,Preventive PM,2014-06-19 11:44:57,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
30,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338315,PMCS,Preventive PM,2014-06-19 11:48:12,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
31,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338318,PMCS,Preventive PM,2014-06-19 11:51:49,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
32,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338322,PMCS,Preventive PM,2014-06-19 11:55:25,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
33,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338331,PMCS,Preventive PM,2014-06-19 11:59:01,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
34,CACTF,Combined Arms Collective Training Facility (GDIT),"Ft Polk, LA",6338336,PMCS,Preventive PM,2014-06-19 12:03:01,6.0,1,0,CP1-LI17A,"ILLUMINATOR, IR",CONSUMABLE,1
