,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
214,CCTT,,"Ft Hood, TX",6456650,System - Device Degraded,Corrective COR,2014-09-06 14:00:47,6.0,1.0,0.0,025-153,"KIT, CONTACTOR, ABB",CONSUMABLE,1.0
215,CCTT,,"Ft Hood, TX",6456650,System - Device Degraded,Corrective COR,2014-09-06 14:00:47,6.0,1.0,0.0,041-015,"RELAY, PBM, LITTLEFUSE",CONSUMABLE,1.0
216,CCTT,,"Ft Hood, TX",6456650,System - Device Degraded,Corrective COR,2014-09-06 14:00:47,6.0,1.0,0.0,020-107(CROMPTON),"DETECTOR, FREQUENCY, CROMPTON",CONSUMABLE,1.0
1233,CCTT,,"Ft Riley, KS",6268882,System - Device Degraded,Corrective COR,2014-05-05 10:00:00,6.0,0.0,4.0,SRM-27B,"BATTERY, 12 VOLT",CONSUMABLE,4.0
1234,CCTT,,"Ft Riley, KS",6268882,System - Device Degraded,Corrective COR,2014-05-05 10:00:00,6.0,0.0,2.0,ES7-12,"BATTERY, SLA, 12 VOLT 7AH EXIDE",CONSUMABLE,2.0
3458,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5255312,System - Device Degraded,Corrective COR,2012-06-12 14:00:00,4.0,1.0,0.0,117943,CONTROL HANDLE CWS,REPAIRABLE,1.0
3459,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5255312,System - Device Degraded,Corrective COR,2012-06-12 14:00:00,4.0,0.0,1.0,117306,HOUSING ASSY HANDLE,CONSUMABLE,1.0
3460,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5255312,System - Device Degraded,Corrective COR,2012-06-12 14:00:00,4.0,0.0,1.0,117305,HOUSING ASSY HANDLE CWS,CONSUMABLE,1.0
3468,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5296757,System - Device Degraded,Corrective COR,2012-07-13 11:00:00,4.0,0.0,1.0,117306,HOUSING ASSY HANDLE,CONSUMABLE,1.0
3469,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5296757,System - Device Degraded,Corrective COR,2012-07-13 11:00:00,4.0,0.0,1.0,117305,HOUSING ASSY HANDLE CWS,CONSUMABLE,1.0
3559,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5423229,System - Device Degraded,Corrective COR,2012-10-04 14:00:00,4.0,0.0,1.0,117306,HOUSING ASSY HANDLE,CONSUMABLE,1.0
3560,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5423229,System - Device Degraded,Corrective COR,2012-10-04 14:00:00,4.0,1.0,0.0,117305,HOUSING ASSY HANDLE CWS,CONSUMABLE,1.0
3561,CCTT,Close Combat Tactical Trainer (CCTT) Fixed Site M1A1,"Ft Riley, KS",5423229,System - Device Degraded,Corrective COR,2012-10-04 14:00:00,4.0,0.0,1.0,117305,HOUSING ASSY HANDLE CWS,CONSUMABLE,1.0
