,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
0,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6685252,Bench/Depot Repair,Corrective COR,2015-02-13 10:49:43,6.0,1.0,0.0,PL75-9,"CONNECTOR, RF, COAXIAL, TRB STRT PLUG FOR TWC-78-2, 3-LUG, TROMPETER/ EMERSON",CONSUMABLE,1.0
4,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684429,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,1.0,0.0,M39012/01-0503,"CONNECTOR, (GPS)  ELEC RF, COAXIAL, N-TYPE",CONSUMABLE,1.0
5,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684427,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,6.0,0.0,LMR240,"CABLE, ULTRAFLEX",CONSUMABLE,6.0
6,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684427,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,2.0,0.0,M39012/01-0503,"CONNECTOR, (GPS)  ELEC RF, COAXIAL, N-TYPE",CONSUMABLE,2.0
7,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684426,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,2.0,0.0,M39012/01-0503,"CONNECTOR, (GPS)  ELEC RF, COAXIAL, N-TYPE",CONSUMABLE,2.0
8,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684426,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,6.0,0.0,LMR240,"CABLE, ULTRAFLEX",CONSUMABLE,6.0
9,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684425,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,10.0,0.0,LMR240,"CABLE, ULTRAFLEX",CONSUMABLE,10.0
10,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684425,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,2.0,0.0,M39012/01-0503,"CONNECTOR, (GPS)  ELEC RF, COAXIAL, N-TYPE",CONSUMABLE,2.0
11,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684424,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,2.0,0.0,M39012/01-0503,"CONNECTOR, (GPS)  ELEC RF, COAXIAL, N-TYPE",CONSUMABLE,2.0
12,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684424,Bench/Depot Repair,Corrective COR,2015-02-12 14:15:55,6.0,10.0,0.0,LMR240,"CABLE, ULTRAFLEX",CONSUMABLE,10.0
13,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6684423,Bench/Depot Repair,Corrective COR,2015-02-12 14:10:34,6.0,1.0,0.0,BAC515,"CONNECTOR, 50 OHM BNC CRIMP JACK 3 PC. FOR RG58 CABLE, MDL# BAC515, L-COM",CONSUMABLE,1.0
17,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6645538,Bench/Depot Repair,Corrective COR,2015-01-21 09:46:10,6.0,10.0,0.0,RAY-101-7.5,RAYBRAID,CONSUMABLE,10.0
24,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",DR6603237,Bench/Depot Repair,Corrective COR,2014-12-12 09:41:32,6.0,12.0,0.0,FM051806FC-1,"CABLE, BLACK VIDEO 26 AWG, 28 AWG W/SPIRAL SHIELD",CONSUMABLE,12.0
