,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
145,EST,Engagement Skills Trainer (EST) 2000,"Ft Lewis, WA",5383401,System - Device Degraded,Corrective COR,2011-09-12 13:00:00,4.0,1.0,0.0,XP200,"SPEAKER, W/POWERED AMP., DLJAL V",REPAIRABLE,1.0
159,EST,Engagement Skills Trainer (EST) 2000,Kuwait - Camp Buehring,5571712,System - Device Degraded,Corrective COR,2012-03-29 12:05:00,4.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
5209,EST,Engagement Skills Trainer (EST) 2000,"Ft Sill, OK",5192242,System - Device Degraded,Corrective COR,2012-04-26 09:00:00,4.0,5.0,0.0,10226-1210VE,CONNECTOR,CONSUMABLE,5.0
6135,EST,Engagement Skills Trainer (EST) 2000,"Ft Knox, KY",5189898,System - Device Degraded,Corrective COR,2012-04-27 13:30:00,4.0,1.0,0.0,155758-001,"CASE, TRANSIT, PROJECTOR, BARCO",CONSUMABLE,1.0
6922,EST,Engagement Skills Trainer (EST) 2000,"Ft Knox, KY",5189931,System - Device Degraded,Corrective COR,2012-04-27 13:39:00,4.0,1.0,0.0,155758-001,"CASE, TRANSIT, PROJECTOR, BARCO",CONSUMABLE,1.0
8147,EST,Engagement Skills Trainer (EST) 2000,"Minden, LA",5203486,System - Device Degraded,Corrective COR,2012-05-11 11:16:00,4.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
8438,EST,Engagement Skills Trainer (EST) 2000,"Ft Rucker, AL",5225640,System - Device Degraded,Corrective COR,2012-05-24 10:45:00,4.0,1.0,0.0,921340246-009,"LCD, 19 IN. WITH MICROPHONE",REPAIRABLE,1.0
10044,EST,Engagement Skills Trainer (EST) 2000,Fixed Sites with Relocatable Devices,5233741,System - Device Degraded,Corrective COR,2012-05-30 13:27:00,4.0,1.0,0.0,R763794,"REMOTE CONTROL, BARCO LCD IQ-R-350",REPAIRABLE,1.0
10059,EST,Engagement Skills Trainer (EST) 2000,Fixed Sites with Relocatable Devices,5233741,System - Device Degraded,Corrective COR,2012-05-30 13:27:00,4.0,1.0,0.0,921340042,CABLE,CONSUMABLE,1.0
11115,EST,Engagement Skills Trainer (EST) 2000,"Ft Rucker, AL",5263680,System - Device Degraded,Corrective COR,2012-06-18 14:05:00,4.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
11209,EST,Engagement Skills Trainer (EST) 2000,"Camp McCrady, SC",5263723,System - Device Degraded,Corrective COR,2012-06-18 14:54:00,4.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
11212,EST,Engagement Skills Trainer (EST) 2000,"Camp Shelby, MS",5267107,System - Device Degraded,Corrective COR,2012-06-20 10:53:00,4.0,1.0,0.0,921340156-029,LOT V CAMERA (DIFFERENT BRACKETS),CONSUMABLE,1.0
11221,EST,Engagement Skills Trainer (EST) 2000,"Camp McCrady, SC",5267245,System - Device Degraded,Corrective COR,2012-06-20 11:14:00,4.0,1.0,0.0,921340153,FLOOR BOX ASSY,REPAIRABLE,1.0
11314,EST,Engagement Skills Trainer (EST) 2000,"Ft Knox, KY",5269647,System - Device Degraded,Corrective COR,2012-06-22 10:24:00,4.0,1.0,0.0,921340202-8,PRINTER HP,REPAIRABLE,1.0
11658,EST,Engagement Skills Trainer (EST) 2000,"Ft Eustis, VA",5277025,System - Device Degraded,Corrective COR,2012-06-27 14:02:00,4.0,1.0,0.0,155758-001,"CASE, TRANSIT, PROJECTOR, BARCO",CONSUMABLE,1.0
