,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
29,GMDT,,Warfighter Support Center,DR5491176,Bench/Depot Repair,Corrective COR,2012-11-15 09:41:00,4,1,0,CRS180G60,"POWER SUPPLY, CRT 18KV, VOLTAGEMULTIPLER",REPAIRABLE,1.0
46,GMDT,,Warfighter Support Center,5677578,Bench/Depot Repair,Corrective COR,2011-08-19 00:00:00,4,1,0,102A5203120,"VIDEO CARD,  ATI RADEON X1800XL, PCIE, 512MB",REPAIRABLE,1.0
76,GMDT,,Warfighter Support Center,DR5348706,Corrective Maintenance,Corrective COR,2012-08-16 13:37:00,4,2,0,CRS180G60,"POWER SUPPLY, CRT 18KV, VOLTAGEMULTIPLER",REPAIRABLE,2.0
84,GMDT,,Warfighter Support Center,DR5348706,Corrective Maintenance,Corrective COR,2012-08-16 13:37:00,4,1,0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
100,GMDT,,Warfighter Support Center,5664970,Bench/Depot Repair,Corrective COR,2011-09-07 07:30:00,4,1,0,102A5203120,"VIDEO CARD,  ATI RADEON X1800XL, PCIE, 512MB",REPAIRABLE,1.0
192,GMDT,,Warfighter Support Center,DR6000357,Bench/Depot Repair,Corrective COR,2013-11-04 14:57:00,5,1,0,N010-0554-T352,"PANEL, TOUCH, LCD, 10.4"", FUJITSU",REPAIRABLE,1.0
204,GMDT,,Warfighter Support Center,5498189,Bench/Depot Repair,Corrective COR,2011-08-05 07:08:00,4,1,0,CRS180G60,"POWER SUPPLY, CRT 18KV, VOLTAGEMULTIPLER",REPAIRABLE,1.0
215,GMDT,,Warfighter Support Center,DR6072704,Bench/Depot Repair,Corrective COR,2013-12-30 01:31:00,5,1,0,N010-0554-T352,"PANEL, TOUCH, LCD, 10.4"", FUJITSU",REPAIRABLE,1.0
230,GMDT,,Warfighter Support Center,DR5962271,Bench/Depot Repair,Corrective COR,2013-10-03 08:57:00,5,1,0,N010-0554-T352,"PANEL, TOUCH, LCD, 10.4"", FUJITSU",REPAIRABLE,1.0
311,GMDT,,Warfighter Support Center,5503798,Corrective Maintenance,Corrective COR,2011-11-04 07:11:00,4,1,0,CRS180G60,"POWER SUPPLY, CRT 18KV, VOLTAGEMULTIPLER",REPAIRABLE,1.0
332,GMDT,,Warfighter Support Center,DR6367093,Corrective Maintenance,Corrective COR,2014-07-10 13:28:00,6,1,0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
371,GMDT,,Warfighter Support Center,DR6232976,Bench/Depot Repair,Corrective COR,2014-04-16 09:46:00,5,1,0,N010-0554-T352,"PANEL, TOUCH, LCD, 10.4"", FUJITSU",REPAIRABLE,1.0
374,GMDT,,Warfighter Support Center,DR6255445,Bench/Depot Repair,Corrective COR,2014-04-29 09:58:00,5,1,0,N010-0554-T352,"PANEL, TOUCH, LCD, 10.4"", FUJITSU",REPAIRABLE,1.0
396,GMDT,,Warfighter Support Center,DR5968544,Corrective Maintenance,Corrective COR,2013-10-09 12:30:00,5,1,0,CRS180G60,"SUPPLY, POWER, CRT 18KV, VOLTAGE MULTIPLER",REPAIRABLE,1.0
471,GMDT,,Warfighter Support Center,DR6579022,Bench/Depot Repair,Corrective COR,2014-11-25 08:00:00,6,1,0,N010-0554-T352,"PANEL, TOUCH, LCD, 10.4"", Pen & Finger 1.1mm glass 120mm, FUJITSU",REPAIRABLE,1.0
