,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
1,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044830,Bench/Depot Repair,Corrective COR,2013-01-15 07:30:00,5.0,1.0,0.0,MS3420-10,BUSHING,CONSUMABLE,1.0
2,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044830,Bench/Depot Repair,Corrective COR,2013-01-15 07:30:00,5.0,1.0,0.0,MS3106F16-9P,CONNECTOR,CONSUMABLE,1.0
6,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044824,Bench/Depot Repair,Corrective COR,2013-01-08 12:30:00,5.0,4.0,0.0,CD4040BE,12-STAGE BINARY COUNTER,CONSUMABLE,4.0
7,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044824,Bench/Depot Repair,Corrective COR,2013-01-08 12:30:00,5.0,1.0,0.0,8497K3,SWITCH,CONSUMABLE,1.0
9,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044825,Bench/Depot Repair,Corrective COR,2013-01-09 09:30:00,5.0,3.0,0.0,905 NSTD,TERMINAL,CONSUMABLE,3.0
10,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044825,Bench/Depot Repair,Corrective COR,2013-01-09 09:30:00,5.0,6.0,0.0,MS3106F16-9P,CONNECTOR,CONSUMABLE,6.0
11,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044825,Bench/Depot Repair,Corrective COR,2013-01-09 09:30:00,5.0,7.0,0.0,1W010,RESISTOR,CONSUMABLE,7.0
12,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044825,Bench/Depot Repair,Corrective COR,2013-01-09 09:30:00,5.0,1.0,0.0,905 NSTD,TERMINAL,CONSUMABLE,1.0
13,NSTD,Non Standard Training Device,Warfighter Support Center,DR6026274,Bench/Depot Repair,Corrective COR,2013-01-07 07:30:00,5.0,2.0,0.0,5857BK005,WIRE,CONSUMABLE,2.0
14,NSTD,Non Standard Training Device,Warfighter Support Center,DR6026274,Bench/Depot Repair,Corrective COR,2013-01-07 07:30:00,5.0,4.0,0.0,MS35190-226,SCREW,CONSUMABLE,4.0
15,NSTD,Non Standard Training Device,Warfighter Support Center,DR6026274,Bench/Depot Repair,Corrective COR,2013-01-07 07:30:00,5.0,1.0,0.0,7-623-105-12,WASHER,CONSUMABLE,1.0
16,NSTD,Non Standard Training Device,Warfighter Support Center,DR6026275,Bench/Depot Repair,Corrective COR,2013-01-07 11:30:00,5.0,1.0,0.0,81B002,Label,CONSUMABLE,1.0
17,NSTD,Non Standard Training Device,Warfighter Support Center,DR6026275,Bench/Depot Repair,Corrective COR,2013-01-07 11:30:00,5.0,1.0,0.0,279BLK,JACK ,CONSUMABLE,1.0
18,NSTD,Non Standard Training Device,Warfighter Support Center,DR6026275,Bench/Depot Repair,Corrective COR,2013-01-07 11:30:00,5.0,1.0,0.0,279BLK,JACK ,CONSUMABLE,1.0
19,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044832,Bench/Depot Repair,Corrective COR,2013-02-06 13:30:00,5.0,1.0,0.0,3352H-1-104,POTENTIOMETER,CONSUMABLE,1.0
20,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044832,Bench/Depot Repair,Corrective COR,2013-02-06 13:30:00,5.0,1.0,0.0,2N3569-VT,TRANSISTOR,CONSUMABLE,1.0
21,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044832,Bench/Depot Repair,Corrective COR,2013-02-06 13:30:00,5.0,1.0,0.0,860002,CASE,CONSUMABLE,1.0
22,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044832,Bench/Depot Repair,Corrective COR,2013-02-06 13:30:00,5.0,1.0,0.0,81B002,Label,CONSUMABLE,1.0
23,NSTD,Non Standard Training Device,Warfighter Support Center,DR6044832,Bench/Depot Repair,Corrective COR,2013-02-06 13:30:00,5.0,1.0,0.0,2N3569-VT,TRANSISTOR,CONSUMABLE,1.0
24,NSTD,Non Standard Training Device,Warfighter Support Center,DR6175044,Bench/Depot Repair,Corrective COR,2013-03-17 23:30:00,5.0,1.0,0.0,124-WESTERN,ADAPTER,CONSUMABLE,1.0
25,NSTD,Non Standard Training Device,Warfighter Support Center,DR6175044,Bench/Depot Repair,Corrective COR,2013-03-17 23:30:00,5.0,1.0,0.0,4GTA3,NIPPLE,CONSUMABLE,1.0
26,NSTD,Non Standard Training Device,Warfighter Support Center,DR6175044,Bench/Depot Repair,Corrective COR,2013-03-17 23:30:00,5.0,1.0,0.0,815000-NSTD,VALVE,CONSUMABLE,1.0
27,NSTD,Non Standard Training Device,Warfighter Support Center,DR6175044,Bench/Depot Repair,Corrective COR,2013-03-17 23:30:00,5.0,1.0,0.0,124-WESTERN,ADAPTER,CONSUMABLE,1.0
