,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
18,TES,Direct/Indirect Fire Cueing System (DIFCUE) (MILES 2000),"Ft Irwin, CA",DR6294687,Bench/Depot Repair,Corrective COR,2014-05-23 10:46:41,6.0,1,0.0,148768-1,"CABLE ASSY, FCU/FIRING UNIT, DIFCUE",REPAIRABLE,1
34,TES,Direct/Indirect Fire Cueing System (DIFCUE) (MILES 2000),"Ft Irwin, CA",DR6697240,Bench/Depot Repair,Corrective COR,2015-02-24 10:00:17,6.0,1,0.0,148768-1,"CABLE ASSY, FCU/FIRING UNIT, DIFCUE",REPAIRABLE,1
39,TES,Direct/Indirect Fire Cueing System (DIFCUE) (MILES 2000),"Ft Irwin, CA",DR6703021,Bench/Depot Repair,Corrective COR,2015-02-27 15:58:05,6.0,1,0.0,149104-1,"CABLE ASSEMBLY FCU/FU, MGSS",REPAIRABLE,1
46,TES,Direct/Indirect Fire Cueing System (DIFCUE) (MILES 2000),"Ft Irwin, CA",DR6736521,Bench/Depot Repair,Corrective COR,2015-03-17 11:38:10,6.0,1,0.0,148768-1,"CABLE ASSY, FCU/FIRING UNIT, DIFCUE",REPAIRABLE,1
50,TES,Direct/Indirect Fire Cueing System (DIFCUE) (MILES 2000),"Ft Irwin, CA",DR6800409,Bench/Depot Repair,Corrective COR,2015-04-17 16:56:21,6.0,1,0.0,148768-1,"CABLE ASSY, FCU/FIRING UNIT, DIFCUE",REPAIRABLE,1
371,TES,"Simulator System, Firing, Laser: M16A1 Rifle","Ft Benning, GA",DR6527993,Bench/Depot Repair,Corrective COR,2014-10-23 14:32:40,6.0,1,0.0,11749090,PWBA (DETECTOR AMP) (REPL BY 136124),REPAIRABLE,1
464,TES,"Simulator System, Firing, Laser: M16A1 Rifle","Ft Benning, GA",DR6528030,Bench/Depot Repair,Corrective COR,2014-10-23 14:32:47,6.0,1,0.0,11749090,PWBA (DETECTOR AMP) (REPL BY 136124),REPAIRABLE,1
494,TES,"Simulator System, Firing, Laser: M16A1 Rifle","Ft Benning, GA",DR6528007,Bench/Depot Repair,Corrective COR,2014-10-23 14:32:51,6.0,1,0.0,11749090,PWBA (DETECTOR AMP) (REPL BY 136124),REPAIRABLE,1
509,TES,"Simulator System, Firing, Laser: M16A1 Rifle","Ft Riley, KS",DR6538612,Bench/Depot Repair,Corrective COR,2014-10-29 15:46:18,6.0,1,0.0,160245,"CCA, MWLD DECODER (9359102) (11749228)",REPAIRABLE,1
526,TES,"Simulator System, Firing, Laser: M16A1 Rifle","Ft Riley, KS",DR6538772,Bench/Depot Repair,Corrective COR,2014-10-29 16:10:34,6.0,1,0.0,136122,"CCA, HELMET (REP 11749020)",REPAIRABLE,1
